,Country/Region,WHO Region
0,Afghanistan,Eastern Mediterranean
1,Albania,Europe
2,Algeria,Africa
3,Andorra,Europe
4,Angola,Africa
5,Antigua and Barbuda,Americas
6,Argentina,Americas
7,Armenia,Europe
8,Australia,Western Pacific
16,Austria,Europe
17,Azerbaijan,Europe
18,Bahamas,Americas
19,Bahrain,Eastern Mediterranean
20,Bangladesh,South-East Asia
21,Barbados,Americas
22,Belarus,Europe
23,Belgium,Europe
24,Benin,Africa
25,Bhutan,South-East Asia
26,Bolivia,Americas
27,Bosnia and Herzegovina,Europe
28,Brazil,Americas
29,Brunei,Western Pacific
30,Bulgaria,Europe
31,Burkina Faso,Africa
32,Cabo Verde,Africa
33,Cambodia,Western Pacific
34,Cameroon,Africa
35,Canada,Americas
45,Central African Republic,Africa
46,Chad,Africa
47,Chile,Americas
48,China,Western Pacific
81,Colombia,Americas
82,Congo (Brazzaville),Africa
83,Congo (Kinshasa),Africa
84,Costa Rica,Americas
85,Cote d'Ivoire,Africa
86,Croatia,Europe
87,Cuba,Americas
88,Cyprus,Europe
89,Czechia,Europe
90,Denmark,Europe
91,Greenland,Europe
93,Djibouti,Eastern Mediterranean
94,Dominican Republic,Americas
95,Ecuador,Americas
96,Egypt,Eastern Mediterranean
97,El Salvador,Americas
98,Equatorial Guinea,Africa
99,Eritrea,Africa
100,Estonia,Europe
101,Eswatini,Africa
102,Ethiopia,Africa
103,Fiji,Western Pacific
104,Finland,Europe
105,France,Europe
115,Gabon,Africa
116,Gambia,Africa
117,Georgia,Europe
118,Germany,Europe
119,Ghana,Africa
120,Greece,Europe
121,Guatemala,Americas
122,Guinea,Africa
123,Guyana,Americas
124,Haiti,Americas
125,Holy See,Europe
126,Honduras,Americas
127,Hungary,Europe
128,Iceland,Europe
129,India,South-East Asia
130,Indonesia,South-East Asia
131,Iran,Eastern Mediterranean
132,Iraq,Eastern Mediterranean
133,Ireland,Europe
134,Israel,Europe
135,Italy,Europe
136,Jamaica,Americas
137,Japan,Western Pacific
138,Jordan,Eastern Mediterranean
139,Kazakhstan,Europe
140,Kenya,Africa
141,South Korea,Western Pacific
142,Kuwait,Eastern Mediterranean
143,Kyrgyzstan,Europe
144,Latvia,Europe
145,Lebanon,Eastern Mediterranean
146,Liberia,Africa
147,Liechtenstein,Europe
148,Lithuania,Europe
149,Luxembourg,Europe
150,Madagascar,Africa
151,Malaysia,Western Pacific
152,Maldives,South-East Asia
153,Malta,Europe
154,Mauritania,Africa
155,Mauritius,Africa
156,Mexico,Americas
157,Moldova,Europe
158,Monaco,Europe
159,Mongolia,Western Pacific
160,Montenegro,Europe
161,Morocco,Eastern Mediterranean
162,Namibia,Africa
163,Nepal,South-East Asia
164,Netherlands,Europe
168,New Zealand,Western Pacific
169,Nicaragua,Americas
170,Niger,Africa
171,Nigeria,Africa
172,North Macedonia,Europe
173,Norway,Europe
174,Oman,Eastern Mediterranean
175,Pakistan,Eastern Mediterranean
176,Panama,Americas
177,Papua New Guinea,Western Pacific
178,Paraguay,Americas
179,Peru,Americas
180,Philippines,Western Pacific
181,Poland,Europe
182,Portugal,Europe
183,Qatar,Eastern Mediterranean
184,Romania,Europe
185,Russia,Europe
186,Rwanda,Africa
187,Saint Lucia,Americas
188,Saint Vincent and the Grenadines,Americas
189,San Marino,Europe
190,Saudi Arabia,Eastern Mediterranean
191,Senegal,Africa
192,Serbia,Europe
193,Seychelles,Africa
194,Singapore,Western Pacific
195,Slovakia,Europe
196,Slovenia,Europe
197,Somalia,Eastern Mediterranean
198,South Africa,Africa
199,Spain,Europe
200,Sri Lanka,South-East Asia
201,Sudan,Eastern Mediterranean
202,Suriname,Americas
203,Sweden,Europe
204,Switzerland,Europe
205,Taiwan*,Western Pacific
206,Tanzania,Africa
207,Thailand,South-East Asia
208,Togo,Africa
209,Trinidad and Tobago,Americas
210,Tunisia,Eastern Mediterranean
211,Turkey,Europe
212,Uganda,Africa
213,Ukraine,Europe
214,United Arab Emirates,Eastern Mediterranean
215,United Kingdom,Europe
222,Uruguay,Americas
223,US,Americas
224,Uzbekistan,Europe
225,Venezuela,Americas
226,Vietnam,Western Pacific
227,Zambia,Africa
228,Zimbabwe,Africa
229,Dominica,Americas
230,Grenada,Americas
231,Mozambique,Africa
232,Syria,Eastern Mediterranean
233,Timor-Leste,South-East Asia
234,Belize,Americas
235,Laos,Western Pacific
236,Libya,Eastern Mediterranean
237,West Bank and Gaza,Eastern Mediterranean
238,Guinea-Bissau,Africa
239,Mali,Africa
240,Saint Kitts and Nevis,Americas
243,Kosovo,Europe
244,Burma,South-East Asia
248,Botswana,Africa
249,Burundi,Africa
250,Sierra Leone,Africa
251,Malawi,Africa
254,South Sudan,Africa
255,Western Sahara,Africa
256,Sao Tome and Principe,Africa
257,Yemen,Eastern Mediterranean
258,Comoros,Africa
259,Tajikistan,Europe
260,Lesotho,Africa
